time_millis;latitude;longitude;altitude;accuracy;speed;bearing;provider
1678923387486;10.8738828;106.8079476;31.0;20.073;3.175451;133.99211;fused
1678923388969;10.8737371;106.8079755;31.69999885559082;17.789;3.3944995;134.65546;fused
1678923392012;10.8736812;106.8079879;31.69999885559082;14.683;3.4154315;150.3427;fused
1678923392997;10.8736706;106.8079852;31.69999885559082;14.607;4.355601;165.40987;fused
1678923394002;10.8736131;106.808011;31.69999885559082;16.763;4.9481716;165.21245;fused
1678923395010;10.8735161;106.8080707;31.69999885559082;19.483;5.8639;155.04045;fused
1678923395985;10.8734345;106.8081102;31.69999885559082;20.511;6.06187;154.00241;fused
1678923396962;10.8733557;106.8081215;31.69999885559082;21.539;5.1506267;161.78821;fused
1678923398036;10.8733187;106.808145;31.69999885559082;29.341;3.663099;67.72542;fused
1678923399041;10.8732597;106.8081237;32.5;29.728;4.71279;171.8962;fused
1678923399996;10.8731787;106.8080578;32.5;27.35;4.8347273;185.68369;fused
1678923400988;10.8731249;106.8080162;32.5;26.017;5.591462;201.44118;fused
1678923401973;10.8730711;106.8079692;32.5;26.017;6.4845;211.10051;fused
1678923402989;10.8730151;106.8079064;32.5;25.728;7.296897;218.7382;fused
1678923404002;10.8729591;106.8078461;32.5;23.435;7.8044753;221.32275;fused
1678923405000;10.8729011;106.8077924;32.5;20.8;7.967795;221.45955;fused
1678923406007;10.872847;106.8077467;32.5;24.0;7.8172855;220.31201;fused
1678923407995;10.8727159;106.8076803;32.5;21.0;7.960284;212.41685;fused
1678923408997;10.8726452;106.8076394;32.5;18.0;8.276845;211.49768;fused
1678923409998;10.8725709;106.8075817;32.5;16.8;8.885015;213.4562;fused
1678923410999;10.8724963;106.8075259;32.5;16.0;9.245896;214.30806;fused
1678923411983;10.8724183;106.8074661;32.5;12.0;9.635856;215.05391;fused
1678923412998;10.8723429;106.8074112;32.5;12.666;9.783917;215.17538;fused
1678923414003;10.8722633;106.8073517;32.5;12.8;10.021038;215.44522;fused
1678923414989;10.8721809;106.8073062;32.5;12.0;10.091207;213.96211;fused
1678923415990;10.8720965;106.8072569;32.5;12.0;10.290329;213.02547;fused
1678923416987;10.8720723;106.8072393;32.5;12.0;6.203461;211.32635;fused
1678923418592;10.8719835;106.8071705;32.5;11.333;7.56441;215.63644;fused
1678923419633;10.8719193;106.8071227;32.5;11.333;8.529011;216.011;fused
1678923420630;10.8718507;106.8070718;32.5;12.0;9.253552;216.87114;fused
