time_millis;latitude;longitude;altitude;accuracy;speed;bearing;provider
1678663836684;10.8744795;106.8064605;30.100000381469727;24.249;0.0;0.0;fused
1678663841730;10.8744171;106.8066345;30.5;30.39;4.2121854;110.07134;fused
1678663844978;10.8744424;106.8065588;30.5;42.286;1.7437459;288.33398;fused
1678663846392;10.8744632;106.8064963;30.5;42.153;3.0920498;288.58002;fused
1678663847703;10.8743811;106.8066533;30.299999237060547;41.187;2.3344336;126.7525;fused
1678663849000;10.8743467;106.8067193;30.299999237060547;40.605;3.4282098;122.2874;fused
1678663849983;10.8743317;106.806748;30.299999237060547;40.315;3.4480906;121.41893;fused
1678663851099;10.8743204;106.8067681;30.299999237060547;40.145;3.2117426;121.17101;fused
1678663852507;10.8745252;106.8067705;30.299999237060547;39.809;6.663564;16.840338;fused
1678663853638;10.8744255;106.8069328;30.299999237060547;38.181;5.20464;29.649508;fused
1678663855324;10.8741855;106.8072775;30.299999237060547;33.296;3.5089972;84.99269;fused
1678663856500;10.874083;106.8074263;30.299999237060547;31.551;4.548959;98.850784;fused
1678663857513;10.8740309;106.8075073;30.299999237060547;29.147;5.5872736;108.3013;fused
1678663859491;10.8739676;106.8075969;30.299999237060547;22.218;2.9608057;105.34615;fused
1678663860495;10.8739391;106.80763;30.299999237060547;24.8;2.5565503;111.81628;fused
1678663862501;10.8739115;106.8076602;30.299999237060547;26.523;1.8677053;127.0109;fused
1678663863467;10.8738981;106.8076714;30.299999237060547;29.618;0.98065513;128.20023;fused
1678663864505;10.8738785;106.8076872;30.299999237060547;32.916;1.4550997;131.43945;fused
1678663866520;10.8738051;106.8077495;30.299999237060547;26.755;2.3868985;129.33842;fused
1678663868004;10.873783;106.8077828;30.299999237060547;33.139;2.5144053;122.65936;fused
1678663869506;10.8737581;106.8078196;30.299999237060547;39.178;2.545774;119.71855;fused
1678663870400;10.8737314;106.8078533;31.0;35.287;2.3948963;119.10253;fused
1678663871529;10.873714;106.8078765;31.0;30.729;2.543061;119.55148;fused
