time_millis;latitude;longitude;altitude;accuracy;speed;bearing;provider
1679009703447;10.8741899;106.8071369;30.5;22.817;0.0;0.0;fused
1679009708570;10.8744886;106.8072958;30.5;104.1;7.106545;27.588068;fused
1679009713617;10.8755105;106.8079468;28.899999618530273;72.9;17.194643;31.147518;fused
1679009718654;10.8738692;106.8076918;31.0;64.474;0.0;131.60056;fused
1679009721360;10.8738709;106.8077136;31.0;51.808;2.6597579;81.90062;fused
1679009723035;10.8738747;106.8077397;31.0;45.665;2.559075;81.51865;fused
1679009725323;10.8738751;106.807753;31.0;38.048;1.7161926;85.54585;fused
1679009726329;10.8738766;106.807763;31.0;37.239;1.2895956;67.21585;fused
1679009727777;10.8738764;106.8077765;31.0;34.146;1.4676409;57.168686;fused
1679009729335;10.873877;106.8077946;31.0;28.979;1.7947366;64.151886;fused
1679009730345;10.8738323;106.8078159;31.0;25.565;2.0809221;94.25367;fused
1679009731345;10.8738166;106.8078344;31.0;25.407;1.9145647;111.13689;fused
1679009732387;10.8738067;106.8078532;31.0;26.181;2.2294784;113.66894;fused
1679009733445;10.873785;106.8078796;31.0;27.809;2.9348688;115.68718;fused
1679009735348;10.8737381;106.80791;31.19999885559082;27.928;3.1965075;122.10642;fused
1679009736353;10.8737256;106.8079222;31.19999885559082;25.448;3.2336931;115.76439;fused
1679009737543;10.8737144;106.8079342;31.19999885559082;21.108;3.733853;111.05642;fused
1679009738800;10.8736928;106.8079428;31.69999885559082;16.737;4.003734;135.67795;fused
1679009740366;10.8736656;106.8079466;31.69999885559082;15.153;3.477898;152.49797;fused
1679009741371;10.8736503;106.8079302;31.69999885559082;15.007;3.3820076;177.00737;fused
1679009742361;10.8736317;106.8079199;31.69999885559082;14.885;3.427412;187.59169;fused
1679009744368;10.8736066;106.8078936;31.69999885559082;14.507;3.4784417;206.45953;fused
1679009745348;10.8735997;106.8078709;31.5;14.651;3.55412;219.95526;fused
1679009747371;10.8736265;106.8078802;31.5;15.045;0.4140346;257.60464;fused
1679009748877;10.8736344;106.8078873;31.5;15.344;0.10728935;267.6096;fused
1679009751438;10.8736113;106.8078887;31.5;16.308;0.023492426;0.0;fused
1679009752468;10.8734302;106.8078838;31.5;15.717;5.289074;213.63895;fused
1679009753423;10.8732734;106.8078638;31.5;15.11;6.2939463;213.60974;fused
1679009754435;10.8731404;106.8078334;31.5;14.245;6.616799;214.96367;fused
