time_millis;latitude;longitude;altitude;accuracy;speed;bearing;provider
1679530466663;10.8740796;106.8073359;30.299999237060547;11.865;2.9540257;133.27287;fused
1679530466984;10.8740509;106.8073722;30.299999237060547;15.91;3.7629087;130.00465;fused
1679530467987;10.8739897;106.8074352;30.299999237060547;13.932;5.3833785;132.08208;fused
1679530468982;10.8739365;106.8074758;30.299999237060547;12.346;5.931606;135.77959;fused
1679530469987;10.8739044;106.8075194;30.299999237060547;11.2;5.8554144;133.10043;fused
1679530471002;10.8738741;106.8075605;30.299999237060547;10.0;5.737891;131.4241;fused
1679530471994;10.8738611;106.8075851;30.299999237060547;6.333;4.8397684;129.15898;fused
1679530473004;10.8738385;106.8076241;30.299999237060547;6.333;4.759742;126.92655;fused
1679530473994;10.8738264;106.8076559;30.69999885559082;7.83;4.295609;124.03946;fused
1679530474996;10.8738137;106.8076777;30.299999237060547;11.08;3.224995;122.08393;fused
1679530475973;10.8738034;106.8076893;30.69999885559082;10.737;2.9519882;123.48349;fused
1679530478003;10.8737966;106.8077064;30.69999885559082;16.83;1.5595279;123.171486;fused
1679530478992;10.8738103;106.8077121;31.0;20.336;1.3241825;113.893036;fused
1679530481079;10.8738242;106.8077177;31.0;22.562;0.9298014;98.6025;fused
1679530483099;10.8738328;106.807729;31.0;17.895;0.829904;85.35445;fused
1679530484135;10.8738334;106.8077424;31.0;14.373;0.9548174;86.52113;fused
1679530485107;10.8738298;106.8077618;31.0;13.707;1.2035601;91.80232;fused
1679530486085;10.8738204;106.807792;31.0;13.04;1.6600152;98.63103;fused
1679530487117;10.8738049;106.8078256;31.0;12.373;2.136201;105.13835;fused
1679530488113;10.8737743;106.8078542;31.0;12.32;2.555847;116.73522;fused
1679530489152;10.873728;106.8078767;31.299999237060547;13.968;3.0268302;130.7233;fused
1679530490119;10.8736797;106.8078967;31.299999237060547;13.968;3.5530028;139.97667;fused
1679530491087;10.8736158;106.8079237;31.299999237060547;13.397;4.566814;142.41084;fused
1679530492101;10.8735659;106.8079467;31.299999237060547;12.198;4.6891637;142.28543;fused
1679530493084;10.8735221;106.807971;31.299999237060547;11.753;4.860785;142.95764;fused
1679530494109;10.873475;106.8079949;31.299999237060547;9.142;4.966876;149.23909;fused
1679530495129;10.8734265;106.8080156;31.299999237060547;8.0;4.701749;151.98297;fused
1679530496115;10.8733814;106.8080322;31.299999237060547;8.0;4.5230565;155.59563;fused
1679530497124;10.8733375;106.8080448;31.299999237060547;8.0;4.4264607;158.11902;fused
1679530498142;10.8732987;106.8080498;31.299999237060547;8.0;3.9978683;166.2561;fused
1679530499152;10.873257;106.8080544;31.299999237060547;8.0;4.074196;168.32248;fused
1679530500147;10.8732145;106.808051;31.299999237060547;8.0;4.4210234;179.73694;fused
1679530501163;10.873169;106.8080288;31.299999237060547;8.0;4.648119;190.82455;fused
1679530502154;10.8731166;106.8079809;31.299999237060547;8.0;6.803116;211.86807;fused
1679530503151;10.8730595;106.807934;31.299999237060547;8.0;7.374467;214.51654;fused
1679530504160;10.8730021;106.8078836;31.299999237060547;8.0;7.905296;213.97624;fused
1679530505134;10.8729402;106.8078315;31.299999237060547;8.0;8.108488;214.9817;fused
1679530506157;10.8728778;106.8077804;31.299999237060547;8.0;8.198632;215.00185;fused
1679530507141;10.8728162;106.8077279;31.299999237060547;7.666;8.209255;215.94388;fused
1679530508148;10.872755;106.8076783;31.299999237060547;7.333;8.303107;215.06693;fused
1679530509132;10.8726939;106.8076314;31.299999237060547;7.0;8.403246;214.99484;fused
1679530510137;10.8726303;106.8075829;31.299999237060547;6.666;8.620829;214.9355;fused
1679530511163;10.8725656;106.8075345;31.299999237060547;6.4;8.677451;214.99966;fused
1679530512153;10.8725026;106.8074865;31.299999237060547;6.8;8.750004;215.00877;fused
1679530513151;10.8724389;106.807438;31.299999237060547;7.0;8.769449;215.00592;fused
1679530514144;10.8723765;106.8073899;31.299999237060547;7.6;8.446585;215.96895;fused
1679530515154;10.8723159;106.807344;31.299999237060547;8.0;8.634693;215.02994;fused
1679530516141;10.8722532;106.8072958;31.299999237060547;7.666;8.595836;215.86028;fused
1679530517155;10.8721911;106.8072475;31.299999237060547;7.333;8.77405;216.97641;fused
1679530518159;10.8721275;106.8071978;31.299999237060547;6.8;8.681307;216.07549;fused
1679530519167;10.8720645;106.8071512;31.299999237060547;6.4;8.604249;215.18651;fused
1679530520175;10.8720028;106.8071091;31.299999237060547;6.0;8.01469;214.16417;fused
1679530521130;10.871948;106.8070709;31.299999237060547;6.0;7.381007;215.00021;fused
1679530522153;10.8718979;106.807034;31.299999237060547;6.0;6.8324656;215.31874;fused
1679530523162;10.8718536;106.8070007;31.299999237060547;6.0;6.2584324;215.16579;fused
1679530524128;10.8718134;106.8069704;31.299999237060547;6.0;5.537283;215.2929;fused
1679530525131;10.8717766;106.8069428;31.299999237060547;6.0;5.1870933;215.02917;fused
1679530526165;10.8717403;106.8069174;31.299999237060547;6.0;5.0306363;214.9994;fused
1679530527162;10.8717047;106.8068921;31.0;6.0;5.0860524;214.99985;fused
1679530528160;10.8716673;106.8068657;31.0;6.0;5.0959835;215.00072;fused
1679530529168;10.8716297;106.8068388;31.0;6.0;5.110917;214.99927;fused
1679530530161;10.871591;106.8068113;31.0;6.0;5.157583;215.00232;fused
1679530531167;10.8715516;106.8067847;31.0;6.0;4.900989;214.04013;fused
1679530532197;10.8715167;106.806761;31.299999237060547;6.4;4.6923757;214.99931;fused
1679530533146;10.8714843;106.8067383;31.0;6.666;4.679759;214.99995;fused
1679530534172;10.8714514;106.8067156;30.299999237060547;8.178;4.8470864;214.99928;fused
1679530535141;10.8714242;106.8066963;30.299999237060547;8.406;5.0245886;215.00014;fused
1679530536157;10.8713789;106.8066609;30.299999237060547;9.035;5.9922748;214.97684;fused
1679530702158;10.8713297;106.8066219;30.299999237060547;8.906;6.574014;214.99953;fused
1679530702159;10.8712795;106.8065808;30.299999237060547;8.906;6.6363373;215.9985;fused
1679530702159;10.8712294;106.8065394;30.299999237060547;8.0;6.8396897;215.99916;fused
1679530702159;10.8711781;106.8064984;30.299999237060547;8.0;6.741376;215.99971;fused
