time_millis;latitude;longitude;altitude;accuracy;speed;bearing;provider
1678836776226;10.8741944;106.8075378;30.299999237060547;11.508;1.8941072;213.6313;fused
1678836781324;10.8741737;106.8075264;30.19999885559082;65.768;0.24054588;199.33208;fused
1678836788075;10.8741677;106.8075176;30.299999237060547;19.559;0.7078194;260.03067;fused
1678836790090;10.874162;106.8075078;30.299999237060547;19.324;1.1315348;258.37793;fused
1678836792122;10.8741172;106.8075325;31.0;18.117;0.7916102;250.36105;fused
1678836793109;10.8740878;106.8075581;31.0;17.091;0.45172706;124.49337;fused
1678836794126;10.8740627;106.8075812;31.0;15.827;0.681259;102.38476;fused
1678836795134;10.8740464;106.8075974;31.0;14.522;0.7013138;95.66083;fused
1678836796110;10.8740321;106.8076095;31.0;13.943;0.5051286;90.81729;fused
1678836797118;10.8740041;106.8076275;31.0;10.969;0.47403422;90.91672;fused
1678836799138;10.8739877;106.8076377;31.0;8.509;0.164891;90.01385;fused
1678836801141;10.8739758;106.8076442;31.0;8.837;0.13990828;91.93582;fused
1678836802163;10.8739392;106.8076519;31.0;10.056;0.34170827;134.28838;fused
1678836803156;10.8738967;106.8076698;31.0;10.357;1.0271857;146.41512;fused
1678836804130;10.8738486;106.8076866;31.0;9.768;1.8800291;153.57375;fused
1678836805179;10.8738121;106.8077009;31.0;9.968;2.4021657;155.4213;fused
1678836806205;10.8737834;106.8077239;31.0;8.888;2.6525834;152.04462;fused
1678836807193;10.8737556;106.8077539;31.0;9.427;3.441985;139.94647;fused
1678836808226;10.8737294;106.8077876;31.0;10.029;4.265651;132.00415;fused
1678836809202;10.8737025;106.8078212;31.0;10.029;4.17549;131.99931;fused
1678836810161;10.8736768;106.8078486;31.0;10.029;4.3074875;132.93665;fused
1678836811186;10.8736424;106.807876;31.0;9.775;4.619314;137.97064;fused
1678836812201;10.8736015;106.807905;31.0;9.132;4.951161;147.7128;fused
1678836813180;10.8735516;106.8079342;31.0;8.0;5.826547;147.09697;fused
1678836814187;10.8734991;106.8079639;31.0;7.833;5.6255836;152.97394;fused
1678836815154;10.8734521;106.8079875;31.0;7.636;5.3238516;154.9641;fused
1678836816161;10.8734084;106.808007;31.0;7.333;5.062257;162.95164;fused
1678836817192;10.8733659;106.8080178;31.0;6.857;4.778934;167.9394;fused
1678836818165;10.8733258;106.808022;31.0;6.0;4.335438;171.97014;fused
1678836819191;10.8733003;106.8080209;31.0;6.0;4.1714783;176.15877;fused
1678836820194;10.8732626;106.8080111;31.0;6.0;4.7445345;201.85994;fused
1678836821170;10.8732231;106.8079891;31.0;6.0;5.0215306;204.93443;fused
1678836822181;10.873178;106.8079636;31.0;6.0;5.637978;205.99438;fused
1678836823150;10.8731251;106.8079327;31.0;6.0;6.4543996;207.9536;fused
1678836824149;10.8730688;106.8078982;31.0;6.222;7.0935445;209.8384;fused
1678836825141;10.8730095;106.8078578;31.0;6.5;7.444211;210.93779;fused
1678836826182;10.8729469;106.807813;31.0;7.0;7.6643486;212.97133;fused
1678836827143;10.8728851;106.8077673;31.0;7.333;8.295769;213.94786;fused
1678836828153;10.8728182;106.807715;31.0;8.0;8.472121;214.93472;fused
1678836829144;10.8727513;106.8076636;31.0;8.0;8.790363;214.00961;fused
1678836830162;10.8726822;106.8076118;31.0;8.0;8.893118;214.00583;fused
1678836831187;10.8726125;106.807559;31.0;7.666;8.666066;213.11401;fused
1678836832178;10.8725454;106.8075118;31.0;7.2;8.194907;213.90173;fused
1678836833184;10.8724836;106.8074675;31.0;6.8;8.083185;214.92517;fused
1678836834186;10.8724244;106.8074233;31.0;6.4;8.226528;215.97464;fused
1678836835178;10.8723657;106.8073794;31.0;6.333;7.880679;215.0812;fused
1678836836176;10.8723098;106.8073386;31.0;6.0;7.4501452;215.99367;fused
1678836837170;10.8722574;106.8073002;31.0;6.0;7.2664857;215.01509;fused
1678836838157;10.8722069;106.8072639;31.0;6.0;7.0956435;215.98642;fused
1678836839184;10.8721575;106.8072269;31.0;6.0;7.019223;216.01114;fused
1678836840174;10.8721081;106.8071889;31.0;6.0;6.7624836;216.04306;fused
1678836841175;10.872061;106.8071526;31.0;6.0;6.6698875;216.92183;fused
1678836842176;10.8720148;106.8071159;31.0;6.0;6.418601;217.00867;fused
1678836843156;10.8719717;106.8070818;31.0;6.0;5.90201;217.0511;fused
1678836844182;10.8719314;106.8070502;31.0;6.0;5.863639;216.63104;fused
1678836845159;10.8718927;106.8070209;31.0;6.0;5.334175;216.07425;fused
1678836846172;10.8718575;106.8069942;31.0;6.0;4.8614182;217.0253;fused
1678836847192;10.871827;106.8069707;31.0;6.0;4.3813996;216.01035;fused
1678836848179;10.8718052;106.8069544;31.0;6.0;3.9606285;217.01898;fused
1678836849186;10.8717774;106.8069336;31.0;6.0;3.5399926;216.29018;fused
1678836850179;10.8717538;106.8069162;31.0;6.0;3.1134589;217.02559;fused
1678836851180;10.8717347;106.8069014;31.0;6.0;2.390281;217.09982;fused
1678836852192;10.8717199;106.8068901;31.0;6.0;2.1122296;216.0333;fused
1678836853199;10.8717077;106.8068812;31.0;6.0;1.4880425;216.09622;fused
1678836866195;10.8716864;106.8068616;30.799999237060547;7.358;2.3327575;215.93692;fused
1678836867182;10.8716626;106.8068425;30.799999237060547;7.358;3.1959841;216.81474;fused
1678836868201;10.8716343;106.8068205;30.799999237060547;7.585;3.7410882;216.00607;fused
1678836869182;10.8716032;106.8067968;30.799999237060547;6.333;4.364192;216.73212;fused
1678836870201;10.8715665;106.8067687;30.799999237060547;6.0;4.9675193;215.96898;fused
1678836871204;10.8715325;106.8067435;30.799999237060547;6.0;5.3513923;215.90974;fused
1678836872211;10.8714885;106.8067115;30.799999237060547;6.0;5.6589046;215.00017;fused
1678836873200;10.8714409;106.8066775;30.799999237060547;5.714;6.207079;214.98851;fused
1678836874216;10.8713913;106.8066415;30.799999237060547;5.666;6.6516495;214.9302;fused
1678836875182;10.8713408;106.8066045;30.799999237060547;5.714;6.756772;215.0032;fused
1678836876214;10.8712873;106.8065649;30.799999237060547;5.666;7.1642003;213.99536;fused
1678836877216;10.8712318;106.8065253;30.799999237060547;5.6;7.3142385;213.9897;fused
1678836878192;10.8711764;106.8064848;30.799999237060547;5.6;7.381922;213.99701;fused
1678836879218;10.8711213;106.8064451;30.799999237060547;5.6;7.388874;213.99982;fused
1678836880193;10.8710666;106.8064062;30.799999237060547;5.6;7.3864875;214.00008;fused
1678836881187;10.8710111;106.8063672;30.799999237060547;5.666;7.456218;213.99812;fused
1678836882203;10.8709534;106.8063272;30.799999237060547;5.333;7.7537766;213.00366;fused
1678836883204;10.8708935;106.8062874;30.799999237060547;5.333;8.059305;213.97739;fused
1678836884212;10.8708312;106.8062436;30.799999237060547;5.666;8.404377;213.96234;fused
1678836885213;10.8707674;106.8061979;30.799999237060547;5.666;8.496389;214.84354;fused
1678836886190;10.8707032;106.8061505;30.799999237060547;5.666;8.857805;214.95743;fused
1678836887193;10.8706366;106.8061017;30.799999237060547;5.666;9.034812;214.99454;fused
1678836888188;10.8705684;106.8060515;30.799999237060547;5.666;9.264239;214.9928;fused
1678836889189;10.8704987;106.8059998;30.799999237060547;5.333;9.428364;215.9626;fused
1678836890212;10.8704275;106.8059463;30.799999237060547;4.8;9.611305;215.99419;fused
1678836891178;10.8703569;106.8058942;30.799999237060547;4.666;9.697295;215.9988;fused
1678836892192;10.8702804;106.8058363;30.799999237060547;4.4;10.145454;216.99582;fused
1678836893203;10.8702054;106.805777;30.799999237060547;4.8;10.142583;217.99248;fused
1678836894205;10.8701314;106.8057157;30.799999237060547;5.2;10.354457;219.99356;fused
1678837069205;10.8700578;106.8056509;30.799999237060547;5.333;10.538942;219.99986;fused
1678837069212;10.8699819;106.8055848;30.799999237060547;5.6;10.577112;219.99994;fused
1678837069212;10.8699069;106.8055211;28.88711577205074;5.2;10.588264;219.99995;fused
1678837069212;10.8698322;106.8054578;28.67825645723986;5.333;10.690708;219.99992;fused
1678837069212;10.8697578;106.8053922;28.601658979831424;5.333;10.813928;220.99701;fused
1678837069212;10.8696839;106.8053252;28.579190518114892;5.0;10.868498;220.99995;fused
