time_millis;latitude;longitude;altitude;accuracy;speed;bearing;provider
1679355323445;10.873878;106.8077017;26.86341646813365;26.287;0.0;0.0;fused
1679355324898;10.8761131;106.8092288;29.106548995292513;92.9;0.0;0.0;fused
1679355330422;10.8736181;106.8081329;29.07584517102645;88.2;0.0;0.0;fused
1679355334978;10.8761741;106.8093498;29.11678362816339;69.233;0.0;0.0;fused
1679355336675;10.8728397;106.8078099;29.333760761009188;62.875;1.0367725;204.74971;fused
1679355337626;10.8727902;106.8077693;29.31943191067591;61.222;1.8425994;211.07895;fused
1679355338637;10.8726785;106.807673;29.34399566897504;56.875;3.4504569;215.94012;fused
1679355339656;10.8726237;106.807624;29.333760761009188;52.375;4.3033867;217.58838;fused
1679355340632;10.8725975;106.8075816;29.22117759124822;37.167;4.5016093;222.2919;fused
1679355341638;10.8725914;106.807547;29.16795697839072;30.666;4.23587;228.82716;fused
1679355342892;10.8725647;106.8075092;28.934609015781867;20.8;4.2028694;230.24802;fused
1679355343902;10.8725176;106.8074722;28.934609015781867;18.4;4.6837206;226.4217;fused
1679355344886;10.8724341;106.807416;29.073798253374555;16.0;7.96948;218.09312;fused
1679355345921;10.8723739;106.8073683;29.21913063840271;13.6;8.283816;218.02007;fused
1679355346886;10.8723098;106.8073194;29.350136619702795;12.0;8.248645;217.07542;fused
1679355347883;10.8722475;106.807272;29.429969385127727;10.4;8.68672;217.00156;fused
1679355348904;10.872182;106.8072234;29.38698241775281;10.0;8.806048;216.9982;fused
1679355349899;10.8721142;106.8071728;29.325572843558525;8.8;9.072579;217.00673;fused
1679355350891;10.8720427;106.8071201;29.212989782844623;8.0;9.717244;217.00313;fused
1679355351908;10.8719672;106.8070649;29.202755033494213;8.0;9.807282;216.99876;fused
1679355352898;10.87189;106.8070089;29.16795697839072;8.0;9.746727;216.10515;fused
1679355353911;10.8718124;106.8069531;29.096314374813318;8.0;9.724277;216.00717;fused
1679355354896;10.8717373;106.8069001;29.01853166411155;8.0;8.981399;216.06625;fused
1679355355876;10.8716693;106.8068528;28.723782623601736;8.0;8.476177;215.05707;fused
1679355356901;10.8716034;106.8068077;28.388108733376626;8.0;8.32583;214.04532;fused
1679355357904;10.8715406;106.8067652;28.02788816635966;8.0;8.220505;214.03046;fused
1679355358936;10.8714793;106.8067236;28.506790261600514;8.0;8.026005;214.96141;fused
1679355359965;10.8714212;106.8066825;28.506790261600514;8.0;8.109464;215.98488;fused
1679355360952;10.871364;106.8066404;28.437205550237216;8.0;8.183829;216.00044;fused
1679355361939;10.8713047;106.8065959;28.31441039806326;8.0;8.338126;215.99417;fused
1679355362921;10.8712463;106.8065501;27.91738494675471;8.0;8.301746;216.00003;fused
1679355363923;10.8711885;106.8065042;27.755714976723425;8.0;8.363141;215.99997;fused
1679355364941;10.8711281;106.806459;27.589955306347363;8.0;8.501873;216.00017;fused
1679355365925;10.871062;106.8064106;27.440569746063282;8.0;8.736241;215.00069;fused
1679355366917;10.8709924;106.8063628;27.340298727388138;8.0;8.868103;214.99985;fused
1679355367951;10.8709207;106.8063138;27.242075209245023;8.0;9.013074;214.99979;fused
1679355368956;10.8708492;106.8062659;27.168408319615878;8.0;9.344656;214.00107;fused
1679355369928;10.8707737;106.8062155;27.03540028375309;8.0;9.546325;213.99982;fused
1679355370933;10.8706988;106.8061664;26.80622211625613;8.0;9.742548;213.99973;fused
1679355371945;10.8706227;106.8061146;26.585234767526693;8.0;9.906129;213.00073;fused
1679355372942;10.8705458;106.8060633;26.489066151314468;8.0;9.927913;213.0;fused
1679355373943;10.8704657;106.8060127;25.819825943646038;8.0;10.567286;212.99295;fused
1679355374943;10.8703819;106.8059606;25.88939463722585;8.0;10.94284;213.99536;fused
1679355375935;10.8702933;106.8059054;25.88939463722585;7.666;11.065727;214.97041;fused
1679355376945;10.8702054;106.8058441;26.544311818394533;7.333;11.472661;216.99467;fused
1679355377940;10.8701179;106.8057782;26.4215441596443;6.8;11.466711;216.99997;fused
1679355378938;10.8700343;106.8057145;26.059389953941903;6.666;11.070942;217.96793;fused
1679355379947;10.8699627;106.8056526;24.983000347907335;6.333;9.870722;219.00052;fused
1679355380932;10.869901;106.8055958;24.66997929981686;6.0;9.857192;222.96487;fused
1679355381934;10.8698393;106.8055361;24.38356496655515;6.0;9.95487;222.99995;fused
1679355382932;10.8697759;106.8054768;24.060337588884018;6.0;10.373166;222.99988;fused
1679355383932;10.8697084;106.8054115;23.814856698951886;6.0;10.50873;222.99995;fused
1679355384935;10.8696401;106.8053473;23.771898276122485;6.0;10.530946;222.99998;fused
1679355385927;10.8695699;106.8052836;23.730985695434256;6.0;10.56583;222.99998;fused
1679355386945;10.8695013;106.8052201;23.730985695434256;6.0;10.616914;223.0;fused
