time_millis;latitude;longitude;altitude;accuracy;speed;bearing;provider
1678750585922;10.8743601;106.8067365;30.5;21.308;6.9620976;143.0137;fused
1678750588663;10.8745783;106.8063099;30.5;18.07;13.106948;314.15253;fused
1678750589971;10.8746116;106.8062733;30.5;6.989;2.8057716;46.25184;fused
1678750593682;10.8745466;106.8063785;30.299999237060547;13.299;7.3012857;119.03686;fused
1678750594675;10.8744653;106.8065105;30.299999237060547;16.453;10.971105;122.02103;fused
1678750595687;10.8743237;106.806799;30.299999237060547;19.073;5.62684;114.041214;fused
1678750597217;10.8741554;106.8071381;30.299999237060547;23.059;6.3268695;117.92994;fused
1678750598232;10.8740597;106.8073291;30.299999237060547;24.8;5.9802346;119.965775;fused
1678750599228;10.8740023;106.8074273;30.299999237060547;22.4;5.7431073;119.99854;fused
1678750600219;10.8739604;106.8075005;30.299999237060547;15.2;5.266169;120.990845;fused
1678750601243;10.8739316;106.8075486;30.299999237060547;14.696;5.275211;121.0119;fused
1678750602539;10.8738885;106.8076105;30.299999237060547;14.863;3.8725648;137.78564;fused
1678750603701;10.8738582;106.8076551;30.299999237060547;14.702;3.218099;127.63374;fused
1678750605227;10.8738311;106.8076908;30.299999237060547;15.01;1.8199513;127.9713;fused
1678750606230;10.8738223;106.8077043;30.299999237060547;14.226;0.90655005;119.05;fused
1678750609222;10.873823;106.8077144;30.299999237060547;12.305;0.0011354695;0.0;fused
1678750612209;10.873819;106.8077293;30.299999237060547;8.816;1.0262458;117.54007;fused
1678750613706;10.8738138;106.8077378;31.0;6.909;1.3358611;118.11435;fused
1678750615266;10.8738075;106.8077466;31.0;6.446;1.7988888;119.36413;fused
1678750616249;10.8737902;106.8077596;31.0;6.933;1.7246432;131.43765;fused
1678750617242;10.8737752;106.8077703;31.0;7.672;1.5008007;131.85828;fused
1678750632271;10.8737876;106.8077602;31.0;8.279;0.022008134;0.0;fused
1678750647272;10.8737857;106.8077695;31.0;4.44;0.116674826;131.00114;fused
1678750649258;10.8737748;106.8077796;31.0;4.949;0.6322523;136.98842;fused
1678750650274;10.8737613;106.8077934;31.0;5.234;0.8283065;136.99796;fused
1678750651280;10.8737485;106.8078082;31.0;5.844;1.0236063;137.98853;fused
1678750652277;10.8737379;106.8078184;31.0;6.101;1.1184201;135.37967;fused
1678750653279;10.8737229;106.8078326;31.0;6.113;1.1162549;136.99503;fused
1678750654278;10.8737122;106.8078429;31.0;6.113;1.0172147;137.00027;fused
1678750655267;10.8737058;106.8078509;31.0;6.101;0.63788664;136.99675;fused
1678750871293;10.8736983;106.8078568;31.5;5.027;0.023839775;0.0;fused
1678750871294;10.873691;106.8078629;31.5;4.17;1.0950959;144.04689;fused
1678750871294;10.8736788;106.8078732;31.5;4.149;1.5989447;141.987;fused
1678750871294;10.8736603;106.8078907;31.600000381469727;4.354;1.7157875;140.00266;fused
1678750871294;10.8736426;106.8079081;31.600000381469727;5.504;1.7683002;140.40256;fused
1678750871294;10.8736249;106.8079237;31.600000381469727;7.347;1.9949849;142.25941;fused
1678750871294;10.8735989;106.8079386;31.600000381469727;8.182;2.356712;145.36601;fused
1678750871294;10.8735701;106.8079555;31.600000381469727;9.426;2.7082274;147.58795;fused
1678750871294;10.873519;106.8079917;31.600000381469727;10.33;3.234552;158.32922;fused
1678750871294;10.873472;106.8080128;31.600000381469727;10.232;3.3873658;162.03232;fused
1678750871294;10.8734114;106.8080297;31.600000381469727;10.143;3.5093317;169.4839;fused
1678750871294;10.8733655;106.808038;31.600000381469727;10.053;3.5820844;181.79;fused
1678750871294;10.8732817;106.808031;31.600000381469727;10.398;3.8368106;196.35602;fused
1678750871294;10.8732258;106.8080127;31.600000381469727;10.649;4.0341268;203.83418;fused
1678750871294;10.8731347;106.8079701;31.600000381469727;9.995;6.587202;206.95544;fused
1678750871294;10.873075;106.8079394;31.600000381469727;9.623;6.5183864;208.92783;fused
1678750871294;10.8730229;106.8079092;31.600000381469727;8.673;6.6304183;209.97171;fused
1678750871294;10.8729677;106.80787;31.600000381469727;7.741;7.6741443;210.99454;fused
1678750871294;10.8729077;106.8078299;31.600000381469727;6.742;7.682349;212.99281;fused
1678750871294;10.872849;106.8077876;31.600000381469727;6.0;8.308866;213.99954;fused
1678750871294;10.8727877;106.8077411;31.600000381469727;6.0;8.199427;214.00015;fused
1678750871294;10.8727265;106.807698;31.600000381469727;6.0;8.361505;213.99962;fused
1678750871294;10.8726637;106.807654;31.600000381469727;6.0;8.511134;214.0003;fused
1678750871294;10.8725989;106.8076072;31.600000381469727;6.0;8.806357;214.99902;fused
1678750871294;10.872533;106.8075569;31.600000381469727;6.0;8.926679;214.9995;fused
1678750871294;10.8724661;106.8075053;31.600000381469727;6.0;9.194153;215.0002;fused
1678750871294;10.8723973;106.8074523;31.600000381469727;6.0;9.46635;215.98993;fused
1678750871295;10.8723244;106.8073957;31.600000381469727;6.0;10.136174;214.99986;fused
1678750871295;10.8722462;106.8073378;31.600000381469727;6.0;10.31514;215.00024;fused
1678750871295;10.8721642;106.8072768;31.600000381469727;6.0;10.54273;214.9997;fused
1678750871295;10.8720825;106.8072161;31.600000381469727;6.0;10.504466;214.99998;fused
1678750871295;10.8720029;106.8071552;31.600000381469727;6.0;10.427105;215.99821;fused
1678750871295;10.8719274;106.8070936;31.600000381469727;6.0;10.242906;216.00023;fused
1678750871295;10.8718528;106.8070358;31.600000381469727;6.4;10.015503;216.00038;fused
1678750871295;10.8717829;106.8069797;31.600000381469727;6.4;9.698792;216.00038;fused
1678750871295;10.8717155;106.8069262;31.600000381469727;6.333;9.219244;216.0007;fused
1678750871295;10.8716541;106.8068782;31.600000381469727;6.4;8.387723;215.003;fused
1678750871295;10.8715961;106.8068355;31.600000381469727;6.4;7.801687;215.01022;fused
1678750871295;10.8715439;106.8067971;31.600000381469727;6.333;6.8224287;214.00587;fused
1678750871295;10.8715102;106.8067712;31.600000381469727;6.0;4.0977335;216.07953;fused
1678750871295;10.8714946;106.8067566;31.600000381469727;6.0;2.384572;217.02841;fused
1678750871295;10.871481;106.8067466;31.0;6.0;1.0374428;216.0032;fused
1678750871295;10.8714583;106.8067284;29.899999618530273;5.274;2.150572;215.00778;fused
1678750871295;10.8714368;106.8067125;29.899999618530273;4.819;2.8639586;214.42693;fused
1678750871295;10.8714022;106.8066869;29.899999618530273;4.563;3.678273;216.91296;fused
1678750871295;10.8713363;106.8066318;29.899999618530273;6.229;4.3333626;215.96783;fused
1678750871295;10.8712658;106.8065826;29.899999618530273;7.36;5.452676;215.0059;fused
1678750871295;10.8712121;106.8065425;29.899999618530273;8.03;6.579681;215.00264;fused
1678750871295;10.8711504;106.8064951;29.899999618530273;9.147;7.0085588;215.9945;fused
1678750871295;10.8710867;106.8064458;29.899999618530273;8.467;7.624712;216.98643;fused
1678750871296;10.8710157;106.8063888;29.899999618530273;8.226;8.542205;216.99681;fused
1678750871296;10.8709318;106.8063253;29.899999618530273;7.333;9.24688;216.99934;fused
1678750871296;10.870852;106.8062653;29.899999618530273;7.333;9.243251;217.00003;fused
1678750871296;10.8707768;106.8062082;29.899999618530273;7.0;9.004114;216.00386;fused
1678750871296;10.8707038;106.8061542;29.899999618530273;6.4;9.025876;216.99783;fused
1678750871296;10.8706275;106.806098;29.899999618530273;6.4;10.443387;216.99512;fused
1678750871296;10.8705413;106.8060361;29.899999618530273;6.666;10.625496;216.00826;fused
1678750871296;10.8704502;106.8059773;29.899999618530273;7.2;11.29595;215.99815;fused
1678750871296;10.8703586;106.8059153;29.899999618530273;7.6;11.234308;215.99992;fused
1678750871296;10.8702679;106.8058494;29.899999618530273;7.333;11.95391;216.9856;fused
1678750871296;10.8701775;106.8057801;29.899999618530273;7.333;12.264826;216.99933;fused
1678750871296;10.8700892;106.8057072;29.899999618530273;7.0;12.662949;219.99554;fused
1678750871296;10.8700018;106.805631;29.899999618530273;6.4;12.966459;220.00024;fused
1678750871296;10.8699086;106.8055523;29.899999618530273;6.0;13.3319;220.00021;fused
1678750871296;10.8698135;106.8054737;29.899999618530273;6.0;13.655516;219.00346;fused
1678750871296;10.8697187;106.8053964;29.899999618530273;6.0;13.675591;219.00003;fused
1678750871296;10.8696245;106.8053178;29.899999618530273;6.0;13.670633;219.99365;fused
1678750871299;10.8695324;106.8052378;29.899999618530273;6.4;13.572559;220.99701;fused
1678750871299;10.8694409;106.8051565;29.899999618530273;6.666;13.503148;221.99521;fused
1678750871299;10.8693492;106.8050718;29.899999618530273;7.0;13.631809;222.99748;fused
1678750871299;10.8692568;106.8049832;28.12951481158866;7.333;13.807444;223.9978;fused
1678750871299;10.8691665;106.804889;28.096844989371473;8.0;13.920512;224.99855;fused
1678750871299;10.8690812;106.8047989;27.759944812323273;8.0;13.834361;225.0;fused
1678750871299;10.868997;106.8047076;27.575311529159606;7.666;13.563365;225.99858;fused
1678750871299;10.8689151;106.8046167;27.575311529159606;7.333;13.194136;226.99635;fused
1678750871299;10.8688382;106.804529;27.079183722992365;6.8;12.384765;226.99959;fused
1678750871299;10.8687655;106.8044476;26.54633814008925;6.4;11.686629;226.9996;fused
1678750871299;10.8686981;106.8043708;26.423849650607924;6.0;11.188228;226.99962;fused
1678750871299;10.868631;106.8042963;26.17071239653943;6.0;10.956224;226.99995;fused
1678750871299;10.8685666;106.8042251;25.962492272874407;6.0;10.537771;225.00175;fused
1678750871299;10.8685017;106.8041556;25.774690285964553;6.0;10.216121;224.01825;fused
1678750871299;10.8684383;106.8040923;25.299080004120146;6.0;9.539609;212.8461;fused
1678750871299;10.8683656;106.8040483;24.869307478153953;6.0;9.1425;205.33932;fused
1678750871299;10.8682866;106.8040161;24.792880431741693;6.333;9.379114;199.09402;fused
1678750871300;10.8681988;106.803995;24.1397644800522;6.8;9.285276;197.00314;fused
1678750871300;10.8681129;106.8039745;23.89894070673736;6.666;8.9191885;197.99918;fused
1678750871300;10.8680354;106.8039547;23.772408931148174;6.666;8.279;206.6717;fused
1678750871300;10.8679673;106.8039234;23.745878315170305;6.8;7.8573217;210.95;fused
1678750871300;10.8679056;106.8038863;23.39894715453765;6.4;7.745979;215.96478;fused
1678750871300;10.8678514;106.8038451;23.22956829000558;6.333;7.6825643;218.99327;fused
1678750871300;10.8677993;106.8037976;22.962242288568596;6.0;8.018217;224.9647;fused
1678750871300;10.8677482;106.8037461;22.76430405537681;6.0;8.3371935;224.99983;fused
1678750871300;10.8676949;106.8036915;22.584735234891006;6.0;8.924709;225.99934;fused
1678750871300;10.8676379;106.8036311;22.478628179357024;6.0;9.374007;226.99916;fused
1678750871300;10.8675801;106.8035659;22.53780310375372;6.0;9.813166;227.9971;fused
1678750871301;10.8675218;106.8034948;22.41741317623299;6.0;10.407115;228.99916;fused
1678750871302;10.8674605;106.8034156;22.419453669195555;6.0;10.9889345;229.00095;fused
1678750871302;10.867398;106.803331;22.466385143269463;5.6;11.589723;232.99002;fused
1678750871302;10.8673343;106.8032413;22.676559723348625;5.666;12.028524;233.00056;fused
1678750871302;10.8672695;106.8031512;22.70104642206371;5.666;12.004648;232.99997;fused
1678750871302;10.8672043;106.8030605;22.70104642206371;5.6;12.39618;233.00053;fused
1678750871302;10.8671378;106.8029661;22.55412729372687;5.666;12.755292;233.99763;fused
1678750871302;10.86707;106.8028682;22.488830722976658;5.666;12.867308;234.00038;fused
1678750871302;10.8670011;106.8027669;22.501073791572026;6.0;13.547953;234.00505;fused
1678750871302;10.8669304;106.8026628;22.488830722976658;6.0;13.829442;235.99744;fused
1678750871302;10.8668592;106.8025552;22.647991997831333;6.0;13.766535;235.99954;fused
1678750871302;10.8667895;106.8024451;22.737776603130214;6.0;14.476707;237.99794;fused
1678750871302;10.8667191;106.8023299;22.5867757682429;6.0;14.378649;237.99973;fused
1678750871302;10.8666506;106.8022182;22.113385228881786;6.0;14.412493;238.00008;fused
1678750871302;10.866582;106.8021052;21.93383023480973;6.0;14.392973;237.99983;fused
